property_id,seating_type,industry_anzsic4_code,location_zip,clue_small_area,trading_name,x_coordinate,location_address,location_city,location_state,number_of_seats,ogc_fid,industry_anzsic4_description,y_coordinate,census_year,street_address, base_property_id,block_id
"108591","Seats - Indoor","4511",null,"Melbourne (CBD)","Izakaya Den","144.9689753",null,null,null,"52",40623,"Cafes and Restaurants","-37.81350285","2017","114-120 Russell Street","108591","47"
"105675","Seats - Indoor","4511",null,"Melbourne (CBD)","Seamstress","144.9690111",null,null,null,"20",40640,"Cafes and Restaurants","-37.81056538","2017","113 Lonsdale Street","105675","67"
"613252","Seats - Outdoor","4511",null,"Docklands","Heavy D's Cafe & Sanwich Bar","144.9458305",null,null,null,"14",40650,"Cafes and Restaurants","-37.821044","2017","790-814 Collins Street","613252","1108"
"103613","Seats - Indoor","4511",null,"Melbourne (CBD)","65 Degrees ","144.9687244",null,null,null,"22",40656,"Cafes and Restaurants","-37.80874125","2017","309 Exhibition Street","103613","87"
"110988","Seats - Indoor","4520",null,"Southbank","Plus 5","144.9503336",null,null,null,"80",40679,"Pubs, Taverns and Bars","-37.82409303","2017","29-65 South Wharf Promenade","110988","804"
"599505","Seats - Indoor","4511",null,"Docklands","Halyard Coffee","144.947217",null,null,null,"4",40694,"Cafes and Restaurants","-37.81817241","2017","744-770 Bourke Street","573403","1103"
"105936","Seats - Outdoor","4511",null,"Melbourne (CBD)","Dikstein's Corner Bar","144.9603413",null,null,null,"36",40705,"Cafes and Restaurants","-37.81631094","2017","433 Little Collins Street","105936","33"
"578325","Seats - Outdoor","4511",null,"Melbourne (CBD)","Taxi Riverside","144.9699175",null,null,null,"250",40709,"Cafes and Restaurants","-37.81784465","2017","2 Swanston Street","573333","6"
"110665","Seats - Indoor","4511",null,"Melbourne (CBD)","Billi Green's","144.9589237",null,null,null,"150",40711,"Cafes and Restaurants","-37.81817724","2017","459 Collins Street","110661","22"
"101193","Seats - Outdoor","4511",null,"Melbourne (CBD)","Federal Coffee Palace","144.9632879",null,null,null,"155",40718,"Cafes and Restaurants","-37.81360425","2017","338-352 Bourke Street","101193","55"
"110343","Seats - Indoor","4511",null,"Southbank","Subway","144.9583432",null,null,null,"30",40726,"Cafes and Restaurants","-37.82559096","2017","27-45 Whiteman Street","640947","806"
"108866","Seats - Indoor","4511",null,"West Melbourne (Residential)","Junie Moon's","144.9485541",null,null,null,"20",40734,"Cafes and Restaurants","-37.80875296","2017","511 Spencer Street","108866","430"
"102126","Seats - Indoor","4511",null,"Melbourne (CBD)","Subway","144.9603119",null,null,null,"22",40741,"Cafes and Restaurants","-37.8169991","2017","416-420 Collins Street","102126","33"
"110606","Seats - Indoor","4511",null,"Southbank","Lindt Chocolate Cafe","144.9662623",null,null,null,"50",40761,"Cafes and Restaurants","-37.82066923","2017","3 Southgate Avenue","110380","753"
"101171","Seats - Indoor","4511",null,"Melbourne (CBD)","Hudson's Coffee","144.9553253",null,null,null,"30",40768,"Cafes and Restaurants","-37.81622847","2017","612-620 Bourke Street","101171","51"
"105747","Seats - Indoor","4511",null,"Melbourne (CBD)","Sakura Kaiten Sushi II","144.9639969",null,null,null,"30",40780,"Cafes and Restaurants","-37.81152964","2017","272-282 Lonsdale Street","105747","85"
"559024","Seats - Indoor","4512",null,"Carlton","NL House","144.9656841",null,null,null,"12",40793,"Takeaway Food Services","-37.80080712","2017","115 Grattan Street","559024","246"
"109997","Seats - Outdoor","4512",null,"East Melbourne","Espresso Extraction","144.9855915",null,null,null,"6",40802,"Takeaway Food Services","-37.81618515","2017","132-142 Wellington Parade","109997","607"
"108647","Seats - Outdoor","4511",null,"Melbourne (Remainder)","J&K  Cafe","144.9800592",null,null,null,"30",40809,"Cafes and Restaurants","-37.84607473","2017","541-543 St Kilda Road","108647","724"
"573925","Seats - Outdoor","4511",null,"Docklands","Cargo Cafe & Bar","144.9414051",null,null,null,"50",40819,"Cafes and Restaurants","-37.8153411","2017","55 Newquay Promenade","573925","1109"
"620312","Seats - Indoor","4511",null,"Docklands","San Churro","144.9378299",null,null,null,"64",40822,"Cafes and Restaurants","-37.81315031","2017","23-37 Star Crescent","593737","1110"
"101127","Seats - Indoor","4512",null,"Melbourne (CBD)","Cafe Box","144.9679684",null,null,null,"4",40853,"Takeaway Food Services","-37.81310923","2017","143-153 Russell Street","101127","46"
"103918","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cecconi's Flinders Lane","144.9725123",null,null,null,"12",40856,"Cafes and Restaurants","-37.81506474","2017","61-73 Flinders Lane","103918","18"
"105669","Seats - Indoor","4512",null,"Melbourne (CBD)","Creole Kitchen Lobby","144.9713867",null,null,null,"12",40861,"Takeaway Food Services","-37.80988424","2017","23-33 Lonsdale Street","105669","68"
"101213","Seats - Indoor","4511",null,"Melbourne (CBD)","Shark Fin House","144.9688573",null,null,null,"380",40864,"Cafes and Restaurants","-37.81199769","2017","134-144 Bourke Street","101213","57"
"105870","Seats - Indoor","4511",null,"Melbourne (CBD)","Blok M Express","144.9613283",null,null,null,"50",40880,"Cafes and Restaurants","-37.81354346","2017","380-384 Little Bourke Street","105870","64"
"109312","Seats - Outdoor","4512",null,"Melbourne (CBD)","Hokuto Japanese Cafe","144.9634198",null,null,null,"8",40893,"Takeaway Food Services","-37.80945732","2017","377-391 Swanston Street","109312","95"
"109267","Seats - Outdoor","4511",null,"Melbourne (CBD)","Switchboard Cafe","144.9661258",null,null,null,"30",40906,"Cafes and Restaurants","-37.81528474","2017","220-226 Collins Street","109267","35"
"103610","Seats - Outdoor","4511",null,"Melbourne (CBD)","Miss Chu","144.9688284",null,null,null,"12",40914,"Cafes and Restaurants","-37.80893166","2017","295-301 Exhibition Street","103610","87"
"110542","Seats - Outdoor","4511",null,"Southbank","Signature Pho Viet","144.9523782",null,null,null,"20",40925,"Cafes and Restaurants","-37.82539976","2017","20-30 Convention Centre Place","110484","804"
"110690","Seats - Outdoor","4511",null,"Melbourne (CBD)","Pickett's Deli & Rotisserie","144.9572395",null,null,null,"42",40926,"Cafes and Restaurants","-37.80745984","2017","507-523 Elizabeth Street","108118","113"
"111175","Seats - Outdoor","4511",null,"Southbank","Cafe Baci's","144.9586604",null,null,null,"100",40956,"Cafes and Restaurants","-37.82312164","2017","8 Whiteman Street","110477","803"
"101142","Seats - Indoor","4511",null,"Melbourne (CBD)","Riva Cafe Bar","144.9645323",null,null,null,"46",40960,"Cafes and Restaurants","-37.81445406","2017","309-325 Bourke Street","101142","45"
"103978","Seats - Indoor","4511",null,"Docklands","Man Mo @ Wtc","144.9536422",null,null,null,"110",40964,"Cafes and Restaurants","-37.82253633","2017","18-38 Siddeley Street","111287","131"
"108236","Seats - Outdoor","4511",null,"Carlton","Calrton Pizzeria Bar and Restaurant","144.9711231",null,null,null,"12",40983,"Cafes and Restaurants","-37.79553609","2017","160-162 Rathdowne Street","108236","226"
"105889","Seats - Indoor","4511",null,"Melbourne (CBD)","Petaling Street Malaysian Hawker Food","144.966942",null,null,null,"110",40989,"Cafes and Restaurants","-37.81186912","2017","178-190 Little Bourke Street","105889","66"
"511518","Seats - Outdoor","4511",null,"Melbourne (CBD)","CY Sushi & Noodle","144.9599508",null,null,null,"14",41008,"Cafes and Restaurants","-37.80794087","2017","471 Elizabeth Street","511518","114"
"110438","Seats - Outdoor","4511",null,"Southbank","Cafe Clicquot","144.9662961",null,null,null,"16",41017,"Cafes and Restaurants","-37.83070462","2017","80 Dorcas Street","110437","746"
"104014","Seats - Outdoor","4511",null,"Melbourne (CBD)","Kim Sing Chinese Restaurant","144.9665517",null,null,null,"40",41023,"Cafes and Restaurants","-37.81724878","2017","228-236 Flinders Street","104014","15"
"105299","Seats - Indoor","4400",null,"Melbourne (CBD)","Ibis Styles Kingsgate Hotel ","144.9555039",null,null,null,"30",41054,"Accommodation","-37.81708323","2017","131-137 King Street","105299","41"
"500323","Seats - Indoor","4512",null,"Melbourne (CBD)","Wonderbao","144.9626101",null,null,null,"5",41055,"Takeaway Food Services","-37.80894099","2017","19-37 A'Beckett Street","500323","95"
"102123","Seats - Indoor","4511",null,"Melbourne (CBD)","Macchiato On Collins","144.959442",null,null,null,"22",41069,"Cafes and Restaurants","-37.81730302","2017","446-452 Collins Street","102123","33"
"578096","Seats - Outdoor","4511",null,"Docklands","Asuka Sushi","144.9502584",null,null,null,"18",41077,"Cafes and Restaurants","-37.81864992","2017","715-727 Bourke Street","578096","1105"
"109267","Seats - Indoor","4512",null,"Melbourne (CBD)","Chatime","144.9661258",null,null,null,"9",41087,"Takeaway Food Services","-37.81528474","2017","220-226 Collins Street","109267","35"
"105669","Seats - Outdoor","4512",null,"Melbourne (CBD)","Creole Kitchen Lobby","144.9713867",null,null,null,"6",41098,"Takeaway Food Services","-37.80988424","2017","23-33 Lonsdale Street","105669","68"
"109952","Seats - Indoor","4511",null,"Melbourne (CBD)","New Kum Den Chinese Restaurant","144.9669911",null,null,null,"70",41105,"Cafes and Restaurants","-37.81162502","2017","7-9 Waratah Place","109952","66"
"573414","Seats - Outdoor","4511",null,"Docklands","Black Cod","144.9451224",null,null,null,"45",41110,"Cafes and Restaurants","-37.81888389","2017","788-812 Bourke Street","573414","1108"
"103415","Seats - Indoor","4511",null,"North Melbourne","Errol's Cafe","144.9490835",null,null,null,"40",41128,"Cafes and Restaurants","-37.80345572","2017","69-71 Errol Street","103415","345"
"105727","Seats - Outdoor","4512",null,"Melbourne (CBD)","Peddler Tuck Shop CBD ","144.9564217",null,null,null,"10",41132,"Takeaway Food Services","-37.81365662","2017","528-538 Lonsdale Street","105727","72"
"632510","Seats - Indoor","4511",null,"Docklands","Little Bean Dockside","144.9445328",null,null,null,"75",41189,"Cafes and Restaurants","-37.82092961","2017","840-850 Collins Street","632510","1108"
"103183","Seats - Indoor","4511",null,"Melbourne (CBD)","Schnitz","144.9626049",null,null,null,"20",41213,"Cafes and Restaurants","-37.81366344","2017","201-207 Elizabeth Street","103183","54"
"105746","Seats - Indoor","4511",null,"Melbourne (CBD)","Food Inc.","144.9630189",null,null,null,"20",41249,"Cafes and Restaurants","-37.81073331","2017","183-265 La Trobe Street","105746","85"
"102685","Seats - Outdoor","4511",null,"Carlton","Doc Pizza & Mozarella Bar","144.9684438",null,null,null,"30",41250,"Cafes and Restaurants","-37.7989855","2017","295-297 Drummond Street","102685","218"
"105932","Seats - Indoor","4511",null,"Melbourne (CBD)","Shamble Coffee Brewers","144.9606374",null,null,null,"16",41257,"Cafes and Restaurants","-37.81622852","2017","421-423 Little Collins Street","105932","33"
"102073","Seats - Indoor","4511",null,"Melbourne (CBD)","Urban Express","144.9687553",null,null,null,"160",41262,"Cafes and Restaurants","-37.81543178","2017","141-165 Collins Street","102073","26"
"111175","Seats - Indoor","4511",null,"Southbank","The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic","144.9586604",null,null,null,"200",41265,"Cafes and Restaurants","-37.82312164","2017","8 Whiteman Street","110477","803"
"609480","Seats - Indoor","4511",null,"Docklands","Shinsei Fish & Sushi Bar ","144.9434599",null,null,null,"72",41277,"Cafes and Restaurants","-37.82044558","2017","829-843 Bourke Street","609480","1108"
"105956","Seats - Indoor","4511",null,"Melbourne (CBD)","STREAT","144.9617411",null,null,null,"30",41278,"Cafes and Restaurants","-37.81560573","2017","384-390 Little Collins Street","105956","44"
"107987","Seats - Outdoor","4511",null,"North Melbourne","Bela Bistro","144.9487134",null,null,null,"8",41282,"Cafes and Restaurants","-37.80271962","2017","562-564 Queensberry Street","107987","346"
"108154","Seats - Indoor","4511",null,"Carlton","Epocha Restaurant","144.9685944",null,null,null,"100",41304,"Cafes and Restaurants","-37.80578725","2017","49 Rathdowne Street","108153","268"
"105481","Seats - Indoor","4511",null,"Melbourne (CBD)","The Basement Cafe","144.9592776",null,null,null,"35",41307,"Cafes and Restaurants","-37.81067976","2017","348-358 La Trobe Street","105481","94"
"103225","Seats - Outdoor","4511",null,"Melbourne (CBD)","Rose Garden Barbecue Shop","144.9603439",null,null,null,"24",41315,"Cafes and Restaurants","-37.80885861","2017","433-435 Elizabeth Street","103225","104"
"105486","Seats - Indoor","4511",null,"Melbourne (CBD)","By Korea ","144.9628763",null,null,null,"44",41330,"Cafes and Restaurants","-37.80962882","2017","212-222 La Trobe Street","105486","95"
"103925","Seats - Indoor","4511",null,"Melbourne (CBD)","Sake Restaurant and Bar","144.9705132",null,null,null,"125",41334,"Cafes and Restaurants","-37.81567009","2017","121-123 Flinders Lane","103925","17"
"561680","Seats - Indoor","4511",null,"Melbourne (CBD)","Cafe 555","144.9528962",null,null,null,"60",41341,"Cafes and Restaurants","-37.81327283","2017","555 La Trobe Street","105462","81"
"101117","Seats - Outdoor","4512",null,"Melbourne (CBD)","Panini Bar","144.9709029",null,null,null,"4",41380,"Takeaway Food Services","-37.812234","2017","87-91 Bourke Street","101117","48"
"103523","Seats - Indoor","4530",null,"North Melbourne","The Comics Lounge","144.949918",null,null,null,"390",41389,"Clubs (Hospitality)","-37.80459297","2017","20-26 Errol Street","103523","354"
"108111","Seats - Indoor","4511",null,"Melbourne (CBD)","CoF.E.Fix","144.9612988",null,null,null,"32",41410,"Cafes and Restaurants","-37.81565401","2017","118-126 Queen Street","108111","44"
"103991","Seats - Indoor","9001",null,"Melbourne (CBD)","The Blind Tiger / Speakeasy HQ","144.9568837",null,null,null,"100",41411,"Performing Arts Operation","-37.82024346","2017","520-522 Flinders Street","103991","11"
"101450","Seats - Outdoor","4520",null,"Carlton","Dan O'Connell Hotel","144.9733817",null,null,null,"20",41427,"Pubs, Taverns and Bars","-37.79303229","2017","223-227 Canning Street","101450","228"
"103908","Seats - Indoor","4511",null,"Parkville","Degani Bakery Cafe","144.9501914",null,null,null,"45",41430,"Cafes and Restaurants","-37.79382016","2017","48-50 Flemington Road","103908","931"
"107987","Seats - Indoor","4511",null,"North Melbourne","Bela Bistro","144.9487134",null,null,null,"40",41466,"Cafes and Restaurants","-37.80271962","2017","562-564 Queensberry Street","107987","346"
"578357","Seats - Outdoor","4511",null,"Docklands","Fish Bar","144.9427543",null,null,null,"60",41495,"Cafes and Restaurants","-37.81473601","2017","25 Newquay Promenade","578357","1109"
"111060","Seats - Outdoor","4511",null,"Carlton","Thai City Restaurant","144.9666993",null,null,null,"24",41499,"Cafes and Restaurants","-37.80443778","2017","124 Lygon Street","106250","252"
"105741","Seats - Indoor","4511",null,"Melbourne (CBD)","Woochon","144.9611344",null,null,null,"50",41515,"Cafes and Restaurants","-37.81200936","2017","374-380 Lonsdale Street","105741","74"
"106096","Seats - Outdoor","4511",null,"Carlton","Tank Fish And Chippery ","144.9661179",null,null,null,"18",41531,"Cafes and Restaurants","-37.80366248","2017","151 Lygon Street","106096","254"
"107557","Seats - Indoor","4512",null,"Carlton","Assembly Store","144.9672927",null,null,null,"8",41543,"Takeaway Food Services","-37.80262373","2017","62 Pelham Street","107557","247"
"589841","Seats - Indoor","4512",null,"Melbourne (CBD)","Mike's Mediterranean","144.9657034",null,null,null,"4",41559,"Takeaway Food Services","-37.810658","2017","221 Little Lonsdale Street","105749","76"
"106084","Seats - Indoor","4511",null,"Carlton","Toto's Pizza","144.9659744",null,null,null,"70",41560,"Cafes and Restaurants","-37.80449163","2017","99-109 Lygon Street","106084","254"
"111066","Seats - Indoor","4511",null,"Carlton","Ying Thai 2","144.9666993",null,null,null,"30",41568,"Cafes and Restaurants","-37.80443778","2017","110 Lygon Street","106250","252"
"103248","Seats - Indoor","4511",null,"North Melbourne","Cafe Perri & Perri Cine Video and Photography","144.9581215",null,null,null,"18",41574,"Cafes and Restaurants","-37.80434979","2017","599 Elizabeth Street","103248","362"
"109329","Seats - Outdoor","4511",null,"Carlton","Cafe Fillings","144.9634142",null,null,null,"22",41622,"Cafes and Restaurants","-37.80087264","2017","723-741 Swanston Street","109329","243"
